poi_name,brand,latitude,longitude,shape_surface,postcode,index_to_benchmark_local,footfall_area_id,footfall_index
Le Cosy,,48.86626,2.3271,1249,75001,1.7003442370469344,891fb467583ffff,0.77229878856549172
Falafel,,48.85966,2.34861,191,75001,1.7003442370469344,891fb4662cfffff,0.86003078152001744
Falafel,,48.85966,2.34861,191,75001,1.7003442370469344,891fb4662cfffff,0.86605160640225887
Le Passage Saint Honoré,,48.8677,2.33173,565,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Le Passage Saint Honoré,,48.8677,2.33173,565,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
Salon des Manufactures,,48.86632,2.33848,197,75001,1.7003442370469344,891fb4675b7ffff,0.75977506816643314
Salon des Manufactures,,48.86632,2.33848,197,75001,1.7003442370469344,891fb4675b7ffff,0.78039015205091555
Le Comptoir du Chantier,,48.86402,2.33414,432,75001,1.7003442370469344,891fb4675bbffff,0.77811582609692587
Le Comptoir du Chantier,,48.86402,2.33414,432,75001,1.7003442370469344,891fb4675bbffff,0.79622340398133551
Carpe Diem Café,,48.86053,2.34579,303,75001,1.7003442370469344,891fb4662cbffff,0.87481220234866974
Carpe Diem Café,,48.86053,2.34579,303,75001,1.7003442370469344,891fb4662cbffff,0.88162756454968894
Bar Vendôme,,48.86812,2.32856,1340,75001,1.7003442370469344,891fb467587ffff,0.761252522513296
Bar Vendôme,,48.86812,2.32856,1340,75001,1.7003442370469344,891fb467587ffff,0.78116583568716558
Taverne De Maître Kanter,,48.8637,2.34306,1249,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Taverne De Maître Kanter,,48.8637,2.34306,1249,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Dandy Kitchen,,48.86233,2.3496,220,75001,1.7003442370469344,891fb4662c3ffff,0.95493563120467562
Dandy Kitchen,,48.86233,2.3496,220,75001,1.7003442370469344,891fb4662c3ffff,0.96587024477263816
Léon de Bruxelles,LEON,48.86284,2.34719,1249,75001,1.7003442370469344,891fb4662c3ffff,0.95493563120467562
Léon de Bruxelles,LEON,48.86284,2.34719,1249,75001,1.7003442370469344,891fb4662c3ffff,0.96587024477263816
Brasserie l'Émil,,48.86711,2.33328,277,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Brasserie l'Émil,,48.86711,2.33328,277,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
Lemoni Café,,48.86481,2.34114,1249,75001,1.7003442370469344,891fb4675a7ffff,0.76019973074776015
Lemoni Café,,48.86481,2.34114,1249,75001,1.7003442370469344,891fb4675a7ffff,0.77549321992933784
Restaurant Le Dalí,,48.86533,2.32814,2169,75001,1.7003442370469344,891fb46758fffff,0.68624423943822555
Restaurant Le Dalí,,48.86533,2.32814,2169,75001,1.7003442370469344,891fb46758fffff,0.70268164421074653
La _ Dolce Vita,,48.86208,2.34877,102,75001,1.7003442370469344,891fb4662c3ffff,0.95493563120467562
